"product_line","product_code","product_name","product_vendor","quantity_in_stock","buy_price","msrp"
"Classic Cars","S10_1949","1952 Alpine Renault 1300","Classic Metal Creations","7305","98.58","214.3"
"Classic Cars","S10_4757","1972 Alfa Romeo GTA","Motor City Art Classics","3252","85.68","136.0"
"Classic Cars","S10_4962","1962 LanciaA Delta 16V","Second Gear Diecast","6791","103.42","147.74"
"Classic Cars","S12_1099","1968 Ford Mustang","Autoart Studio Design","68","95.34","194.57"
"Classic Cars","S12_1108","2001 Ferrari Enzo","Second Gear Diecast","3619","95.59","207.8"
"Classic Cars","S12_3148","1969 Corvair Monza","Welly Diecast Productions","6906","89.14","151.08"
"Classic Cars","S12_3380","1968 Dodge Charger","Welly Diecast Productions","9123","75.16","117.44"
"Classic Cars","S12_3891","1969 Ford Falcon","Second Gear Diecast","1049","83.05","173.02"
"Classic Cars","S12_3990","1970 Plymouth Hemi Cuda","Studio M Art Models","5663","31.92","79.8"
"Classic Cars","S12_4675","1969 Dodge Charger","Welly Diecast Productions","7323","58.73","115.16"
"Classic Cars","S18_1129","1993 Mazda RX-7","Highway 66 Mini Classics","3975","83.51","141.54"
"Classic Cars","S18_1589","1965 Aston Martin DB5","Classic Metal Creations","9042","65.96","124.44"
"Classic Cars","S18_1889","1948 Porsche 356-A Roadster","Gearbox Collectibles","8826","53.9","77.0"
"Classic Cars","S18_1984","1995 Honda Civic","Min Lin Diecast","9772","93.89","142.25"
"Classic Cars","S18_2238","1998 Chrysler Plymouth Prowler","Gearbox Collectibles","4724","101.51","163.73"
"Classic Cars","S18_2870","1999 Indy 500 Monte Carlo SS","Red Start Diecast","8164","56.76","132.0"
"Classic Cars","S18_3232","1992 Ferrari 360 Spider red","Unimax Art Galleries","8347","77.9","169.34"
"Classic Cars","S18_3233","1985 Toyota Supra","Highway 66 Mini Classics","7733","57.01","107.57"
"Classic Cars","S18_3278","1969 Dodge Super Bee","Min Lin Diecast","1917","49.05","80.41"
"Classic Cars","S18_3482","1976 Ford Gran Torino","Gearbox Collectibles","9127","73.49","146.99"
"Classic Cars","S18_3685","1948 Porsche Type 356 Roadster","Gearbox Collectibles","8990","62.16","141.28"
"Classic Cars","S18_4027","1970 Triumph Spitfire","Min Lin Diecast","5545","91.92","143.62"
"Classic Cars","S18_4721","1957 Corvette Convertible","Classic Metal Creations","1249","69.93","148.8"
"Classic Cars","S18_4933","1957 Ford Thunderbird","Studio M Art Models","3209","34.21","71.27"
"Classic Cars","S24_1046","1970 Chevy Chevelle SS 454","Unimax Art Galleries","1005","49.24","73.49"
"Classic Cars","S24_1444","1970 Dodge Coronet","Highway 66 Mini Classics","4074","32.37","57.8"
"Classic Cars","S24_1628","1966 Shelby Cobra 427 S/C","Carousel DieCast Legends","8197","29.18","50.31"
"Classic Cars","S24_2766","1949 Jaguar XK 120","Classic Metal Creations","2350","47.25","90.87"
"Classic Cars","S24_2840","1958 Chevy Corvette Limited Edition","Carousel DieCast Legends","2542","15.91","35.36"
"Classic Cars","S24_2887","1952 Citroen-15CV","Exoto Designs","1452","72.82","117.44"
"Classic Cars","S24_2972","1982 Lamborghini Diablo","Second Gear Diecast","7723","16.24","37.76"
"Classic Cars","S24_3191","1969 Chevrolet Camaro Z28","Exoto Designs","4695","50.51","85.61"
"Classic Cars","S24_3371","1971 Alpine Renault 1600s","Welly Diecast Productions","7995","38.58","61.23"
"Classic Cars","S24_3432","2002 Chevy Corvette","Gearbox Collectibles","9446","62.11","107.08"
"Classic Cars","S24_3856","1956 Porsche 356A Coupe","Classic Metal Creations","6600","98.3","140.43"
"Classic Cars","S24_4048","1992 Porsche Cayenne Turbo Silver","Exoto Designs","6582","69.78","118.28"
"Classic Cars","S24_4620","1961 Chevrolet Impala","Classic Metal Creations","7869","32.33","80.84"
"Classic Cars","S700_2824","1982 Camaro Z28","Carousel DieCast Legends","6934","46.53","101.15"
"Motorcycles","S10_1678","1969 Harley Davidson Ultimate Chopper","Min Lin Diecast","7933","48.81","95.7"
"Motorcycles","S10_2016","1996 Moto Guzzi 1100i","Highway 66 Mini Classics","6625","68.99","118.94"
"Motorcycles","S10_4698","2003 Harley-Davidson Eagle Drag Bike","Red Start Diecast","5582","91.02","193.66"
"Motorcycles","S12_2823","2002 Suzuki XREO","Unimax Art Galleries","9997","66.27","150.62"
"Motorcycles","S18_2625","1936 Harley Davidson El Knucklehead","Welly Diecast Productions","4357","24.23","60.57"
"Motorcycles","S18_3782","1957 Vespa GS150","Studio M Art Models","7689","32.95","62.17"
"Motorcycles","S24_1578","1997 BMW R 1100 S","Autoart Studio Design","7003","60.86","112.7"
"Motorcycles","S24_2000","1960 BSA Gold Star DBD34","Highway 66 Mini Classics","15","37.32","76.17"
"Motorcycles","S24_2360","1982 Ducati 900 Monster","Highway 66 Mini Classics","6840","47.1","69.26"
"Motorcycles","S32_1374","1997 BMW F650 ST","Exoto Designs","178","66.92","99.89"
"Motorcycles","S32_2206","1982 Ducati 996 R","Gearbox Collectibles","9241","24.14","40.23"
"Motorcycles","S32_4485","1974 Ducati 350 Mk3 Desmo","Second Gear Diecast","3341","56.13","102.05"
"Motorcycles","S50_4713","2002 Yamaha YZR M1","Autoart Studio Design","600","34.17","81.36"
"Planes","S18_1662","1980s Black Hawk Helicopter","Red Start Diecast","5330","77.27","157.69"
"Planes","S18_2581","P-51-D Mustang","Gearbox Collectibles","992","49.0","84.48"
"Planes","S24_1785","1928 British Royal Navy Airplane","Classic Metal Creations","3627","66.74","109.42"
"Planes","S24_2841","1900s Vintage Bi-Plane","Autoart Studio Design","5942","34.25","68.51"
"Planes","S24_3949","Corsair F4U ( Bird Cage)","Second Gear Diecast","6812","29.34","68.24"
"Planes","S24_4278","1900s Vintage Tri-Plane","Unimax Art Galleries","2756","36.23","72.45"
"Planes","S700_1691","American Airlines: B767-300","Min Lin Diecast","5841","51.15","91.34"
"Planes","S700_2466","America West Airlines B757-200","Motor City Art Classics","9653","68.8","99.72"
"Planes","S700_2834","ATA: B757-300","Highway 66 Mini Classics","7106","59.33","118.65"
"Planes","S700_3167","F/A 18 Hornet 1/72","Motor City Art Classics","551","54.4","80.0"
"Planes","S700_4002","American Airlines: MD-11S","Second Gear Diecast","8820","36.27","74.03"
"Planes","S72_1253","Boeing X-32A JSF","Motor City Art Classics","4857","32.77","49.66"
"Ships","S18_3029","1999 Yamaha Speed Boat","Min Lin Diecast","4259","51.61","86.02"
"Ships","S24_2011","18th century schooner","Carousel DieCast Legends","1898","82.34","122.89"
"Ships","S700_1138","The Schooner Bluenose","Autoart Studio Design","1897","34.0","66.67"
"Ships","S700_1938","The Mayflower","Studio M Art Models","737","43.3","86.61"
"Ships","S700_2047","HMS Bounty","Unimax Art Galleries","3501","39.83","90.52"
"Ships","S700_2610","The USS Constitution Ship","Red Start Diecast","7083","33.97","72.28"
"Ships","S700_3505","The Titanic","Carousel DieCast Legends","1956","51.09","100.17"
"Ships","S700_3962","The Queen Mary","Welly Diecast Productions","5088","53.63","99.31"
"Ships","S72_3212","Pont Yacht","Unimax Art Galleries","414","33.3","54.6"
"Trains","S18_3259","Collectable Wooden Train","Carousel DieCast Legends","6450","67.56","100.84"
"Trains","S32_3207","1950's Chicago Surface Lines Streetcar","Gearbox Collectibles","8601","26.72","62.14"
"Trains","S50_1514","1962 City of Detroit Streetcar","Classic Metal Creations","1645","37.49","58.58"
"Trucks and Buses","S12_1666","1958 Setra Bus","Welly Diecast Productions","1579","77.9","136.67"
"Trucks and Buses","S12_4473","1957 Chevy Pickup","Exoto Designs","6125","55.7","118.5"
"Trucks and Buses","S18_1097","1940 Ford Pickup Truck","Studio M Art Models","2613","58.33","116.67"
"Trucks and Buses","S18_2319","1964 Mercedes Tour Bus","Unimax Art Galleries","8258","74.86","122.73"
"Trucks and Buses","S18_2432","1926 Ford Fire Engine","Carousel DieCast Legends","2018","24.92","60.77"
"Trucks and Buses","S18_4600","1940s Ford truck","Motor City Art Classics","3128","84.76","121.08"
"Trucks and Buses","S24_2300","1962 Volkswagen Microbus","Autoart Studio Design","2327","61.34","127.79"
"Trucks and Buses","S32_1268","1980s GM Manhattan Express","Motor City Art Classics","5099","53.93","96.31"
"Trucks and Buses","S32_2509","1954 Greyhound Scenicruiser","Classic Metal Creations","2874","25.98","54.11"
"Trucks and Buses","S32_3522","1996 Peterbilt 379 Stake Bed with Outrigger","Red Start Diecast","814","33.61","64.64"
"Trucks and Buses","S50_1392","Diamond T620 Semi-Skirted Tanker","Highway 66 Mini Classics","1016","68.29","115.75"
"Vintage Cars","S18_1342","1937 Lincoln Berline","Motor City Art Classics","8693","60.62","102.74"
"Vintage Cars","S18_1367","1936 Mercedes-Benz 500K Special Roadster","Studio M Art Models","8635","24.26","53.91"
"Vintage Cars","S18_1749","1917 Grand Touring Sedan","Welly Diecast Productions","2724","86.7","170.0"
"Vintage Cars","S18_2248","1911 Ford Town Car","Motor City Art Classics","540","33.3","60.54"
"Vintage Cars","S18_2325","1932 Model A Ford J-Coupe","Autoart Studio Design","9354","58.48","127.13"
"Vintage Cars","S18_2795","1928 Mercedes-Benz SSK","Gearbox Collectibles","548","72.56","168.75"
"Vintage Cars","S18_2949","1913 Ford Model T Speedster","Carousel DieCast Legends","4189","60.78","101.31"
"Vintage Cars","S18_2957","1934 Ford V8 Coupe","Min Lin Diecast","5649","34.35","62.46"
"Vintage Cars","S18_3136","18th Century Vintage Horse Carriage","Red Start Diecast","5992","60.74","104.72"
"Vintage Cars","S18_3140","1903 Ford Model A","Unimax Art Galleries","3913","68.3","136.59"
"Vintage Cars","S18_3320","1917 Maxwell Touring Car","Exoto Designs","7913","57.54","99.21"
"Vintage Cars","S18_3856","1941 Chevrolet Special Deluxe Cabriolet","Exoto Designs","2378","64.58","105.87"
"Vintage Cars","S18_4409","1932 Alfa Romeo 8C2300 Spider Sport","Exoto Designs","6553","43.26","92.03"
"Vintage Cars","S18_4522","1904 Buick Runabout","Exoto Designs","8290","52.66","87.77"
"Vintage Cars","S18_4668","1939 Cadillac Limousine","Studio M Art Models","6645","23.14","50.31"
"Vintage Cars","S24_1937","1939 Chevrolet Deluxe Coupe","Motor City Art Classics","7332","22.57","33.19"
"Vintage Cars","S24_2022","1938 Cadillac V-16 Presidential Limousine","Classic Metal Creations","2847","20.61","44.8"
"Vintage Cars","S24_3151","1912 Ford Model T Delivery Wagon","Min Lin Diecast","9173","46.91","88.51"
"Vintage Cars","S24_3420","1937 Horch 930V Limousine","Autoart Studio Design","2902","26.3","65.75"
"Vintage Cars","S24_3816","1940 Ford Delivery Sedan","Carousel DieCast Legends","6621","48.64","83.86"
"Vintage Cars","S24_3969","1936 Mercedes Benz 500k Roadster","Red Start Diecast","2081","21.75","41.03"
"Vintage Cars","S24_4258","1936 Chrysler Airflow","Second Gear Diecast","4710","57.46","97.39"
"Vintage Cars","S32_4289","1928 Ford Phaeton Deluxe","Highway 66 Mini Classics","136","33.02","68.79"
"Vintage Cars","S50_1341","1930 Buick Marquette Phaeton","Studio M Art Models","7062","27.06","43.64"
